series_title,series_type,series_episodes,my_watched_episodes,my_status
.hack//G.U. Returner,OVA,1,1,On-Hold
.hack//G.U. Trilogy,Movie,1,1,On-Hold
.hack//Intermezzo,Special,1,1,On-Hold
.hack//Liminality,OVA,4,4,On-Hold
.hack//Quantum,OVA,3,3,On-Hold
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,Special,3,3,On-Hold
.hack//Roots,TV,26,26,On-Hold
.hack//Sign,TV,26,26,On-Hold
.hack//Tasogare no Udewa Densetsu,TV,12,12,On-Hold
.hack//The Movie: Sekai no Mukou ni,Movie,1,1,On-Hold
.hack//Unison,Special,1,1,On-Hold
07-Ghost,TV,25,25,On-Hold
1001 Nights,Movie,1,1,On-Hold
11-nin Iru!,Movie,1,1,On-Hold
11eyes,TV,12,12,On-Hold
15 Bishoujo Hyouryuuki,OVA,3,3,On-Hold
18if,TV,13,13,On-Hold
21-ji no Onna: Newscaster Katsuragi Miki,OVA,3,3,On-Hold
22/7,TV,12,12,Watching
3-gatsu no Lion,TV,22,22,On-Hold
3-gatsu no Lion 2nd Season,TV,22,22,On-Hold
3-gatsu no Lion Recap,Special,1,1,On-Hold
3D Kanojo: Real Girl,TV,12,12,Watching
3D Kanojo: Real Girl 2nd Season,TV,12,12,Watching
3Ping Lovers!?Ippu Nisai no Sekai e Youkoso? The Animation,OVA,1,1,On-Hold
3x3 Eyes,OVA,4,4,On-Hold
3x3 Eyes: Seima Densetsu,OVA,3,3,On-Hold
5-toubun no Hanayome,TV,12,12,On-Hold
7 Seeds,ONA,12,12,Watching
7 Seeds 2nd Season,ONA,12,12,Watching
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,OVA,3,1,On-Hold
91 Days,TV,12,12,On-Hold
91 Days Special,Special,1,1,On-Hold
A-Size Classmate,OVA,2,2,On-Hold
A.D. Police (TV),TV,12,12,On-Hold
A.I.C.O.: Incarnation,ONA,12,12,On-Hold
A3! Season Spring & Summer,TV,12,3,Watching
Aa Harimanada,TV,23,23,On-Hold
Aa! Megami-sama!,OVA,5,5,On-Hold
Aa! Megami-sama! (2011),OVA,3,1,On-Hold
Aa! Megami-sama! (TV),TV,24,24,On-Hold
Aa! Megami-sama! (TV) Specials,Special,3,2,On-Hold
Aa! Megami-sama! Movie,Movie,1,1,On-Hold
Aa! Megami-sama!: Sorezore no Tsubasa,TV,22,22,On-Hold
Aa! Megami-sama!: Sorezore no Tsubasa Specials,Special,2,2,On-Hold
Abenobashi Mahou?Shoutengai,TV,13,13,On-Hold
Absolute Duo,TV,12,12,On-Hold
ACCA: 13-ku Kansatsu-ka,TV,12,12,On-Hold
